Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
17,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,8,5,3,2,2,5,2,3,0,0,0,0,2,0,2,0,0,0,1,1,6,7,76,16,398,142,164,1.89,2,2,1.62,2,2,1,11,12,17,2,2,46,7,2,2,588,52,6,13,19,60,86.40%,22,8,52,4,3,10,1,4,4,1,1,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,5,3,2,1,0,0,3,2,0,0,1,0,0,8,141,168,279,19,31.70%,76.90%,174,64,68,79,222,97,44.00%,25,0.54,2,10,44,44,15,1,1.41,0.48,1.41,0.48,1.89,10,1,0.11,17,0.3,0.29,32.40%,16,14,14,15,14,15378,,VAL vs YRK,TRUE,FALSE,TRUE,FALSE,FALSE,8/7/2022,81uu5oy1hg6yunaahnrfm9ogk,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Valour,York United,YRK,2,0,Played,W 2-0,2276289,VAL vs YRK (2022-08-07)
17,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,6,5,1,0,1,8,3,3,0,0,1,1,2,1,1,1,3,2,2,0,5,4,51,16,359,195,97,2.11,3,2,1.96,2,2,3,9,12,9,2,2,47,4,1,0,533,40,7,13,5,39,87.00%,14,7,43,3,4,3,4,2,5,2,0,1,1,0,1,3,3,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,4,2,10,121,185,227,22,29.80%,81.30%,159,34,99,48,189,122,48.00%,25,2.2,1,19,28,28,8,3,1.59,0.52,1.59,0.52,2.11,10,4,0.14,15,0.47,0.55,37.10%,10,18,11,12,11,15381,,PAC vs CAV,FALSE,TRUE,FALSE,TRUE,FALSE,7/1/2022,7yrpfmt0hieklfuvohyeicsno,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Cavalry,Pacific,PAC,3,3,Played,T 3-3,2276265,PAC vs CAV (2022-07-01)
17,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,7,7,0,1,2,6,5,1,0,0,1,0,2,0,2,0,0,0,1,1,7,6,54,20,270,103,93,2.12,2,2,1.92,3,3,2,10,12,8,0,0,44,2,0,0,434,36,6,19,14,59,73.50%,19,8,61,10,2,4,4,2,3,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,4,2,2,2,131,163,140,18,42.20%,72.60%,84,46,66,63,101,106,61.50%,13,0.77,2,20,37,37,15,7,2.04,0.08,2.04,0.08,2.12,10,2,0.13,16,0.35,0.25,25.80%,18,18,24,22,24,15381,,CAV vs FOR,TRUE,FALSE,TRUE,FALSE,FALSE,8/13/2022,81zzp4bsqqfvohdss8ix0u7mc,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,Cavalry,Forge,FOR,2,1,Played,W 2-1,2276290,CAV vs FOR (2022-08-13)
17,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,4,1,3,6,0,10,4,2,1,1,1,0,1,0,0,0,4,0,1,0,6,4,54,11,494,159,270,1.66,1,0,0.51,2,0,4,8,12,12,0,0,34,3,0,0,666,44,2,9,6,18,61.10%,1,0,49,4,0,9,4,1,1,2,0,1,0,0,0,0,3,1,2,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,1,0,7,279,106,281,28,33.00%,86.80%,233,128,68,156,260,78,63.60%,22,0.53,1,44,7,7,4,7,0.47,1.19,0.47,1.19,0.88,12,1,0.08,20,0.14,0.07,48.50%,23,9,5,16,5,15381,,CAV vs ATO,TRUE,FALSE,FALSE,FALSE,TRUE,9/24/2022,85p5sdjte2zcu9xvq85m2o178,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Cavalry,Atlético Ottawa,ATO,1,3,Played,L 1-3,2276318,CAV vs ATO (2022-09-24)
25,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,1,0,1,1,1,9,1,6,0,0,0,0,0,0,0,0,4,0,0,0,3,3,49,26,309,136,98,0.44,0,0,0.4,0,0,2,9,11,17,1,0,56,11,1,1,495,45,8,14,6,39,66.70%,11,3,49,3,4,5,1,5,8,2,0,1,0,0,1,0,3,2,1,0,5,0,1,2,1,1,0,4,4,1,2,0,0,1,2,0,0,1,5,2,7,91,191,213,15,40.80%,75.70%,118,34,82,40,152,117,47.40%,19,1.4,0,12,31,31,7,1,0.34,0.1,0.34,0.1,0.44,11,2,0.04,12,0.5,0.5,14.30%,11,21,17,12,17,6925,,EDM vs CAV,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,0,3,Played,L 0-3,2276234,EDM vs CAV (2022-05-07)
25,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,6,3,3,2,2,6,4,1,0,0,2,0,1,1,2,1,0,1,0,1,4,7,48,22,429,170,189,1.13,2,2,0.85,2,1,1,10,11,22,3,1,42,14,2,2,594,42,4,10,7,37,63.60%,15,7,56,2,4,7,3,1,5,4,0,0,1,0,0,0,3,3,0,0,3,0,0,2,0,1,0,2,3,0,1,0,0,1,2,0,0,1,2,2,5,151,182,261,17,32.60%,83.70%,186,72,101,88,216,125,33.30%,15,1.12,1,14,29,29,6,2,0.99,0.15,0.99,0.15,1.13,9,1,0.07,16,0.21,0.33,28.60%,15,19,21,19,21,6925,,YRK vs EDM,FALSE,TRUE,FALSE,FALSE,TRUE,8/14/2022,82e7w33ico5akxjy7p3kytp1w,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Edmonton,York United,YRK,2,3,Played,L 2-3,2276293,YRK vs EDM (2022-08-14)
25,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,4,4,0,3,1,6,3,3,0,0,0,0,3,0,3,0,0,0,2,1,3,7,66,20,455,152,217,1.95,3,2,1.77,3,3,2,9,11,28,5,4,54,18,2,2,647,35,7,9,10,45,76.20%,19,7,47,5,0,5,0,3,8,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,4,214,165,268,37,29.70%,81.10%,180,105,84,129,216,110,56.30%,16,0.7,2,19,29,29,9,7,1.85,0.1,1.85,0.1,1.95,9,1,0.14,14,0.05,0.06,34.40%,16,13,13,26,13,15377,,FOR vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,7/23/2022,80kepfli0shgex0rpgxxgkdn8,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Forge,Valour,VAL,3,1,Played,W 3-1,2276279,FOR vs VAL (2022-07-23)
25,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,7,2,5,2,2,3,0,2,0,0,1,0,0,1,1,0,1,1,0,1,5,3,67,27,470,208,168,1.45,1,1,1.3,2,2,3,8,11,25,1,1,63,10,0,0,699,45,8,20,13,58,77.80%,16,5,68,2,2,6,1,3,9,4,0,1,0,0,2,2,1,1,0,0,3,0,0,2,0,0,0,3,0,3,0,1,1,0,2,0,0,5,0,4,4,151,218,330,16,35.30%,80.00%,210,50,116,60,262,148,52.20%,23,0.4,0,26,35,35,17,6,0.64,0.82,0.64,0.82,1.45,10,1,0.1,14,0.27,0.2,40.00%,14,24,9,19,9,15382,,EDM vs YRK,FALSE,TRUE,FALSE,TRUE,FALSE,4/16/2022,7tau4kgx1n5aze0tnawvhyq6s,73xrv2025rnj0t3y9ayp83bec,6925,6925,York United,Edmonton,EDM,1,1,Played,T 1-1,2276220,EDM vs YRK (2022-04-16)
25,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,3,2,1,1,2,8,2,3,1,0,0,0,0,0,0,0,2,0,0,0,2,7,70,38,296,98,90,1.58,0,0,0.73,1,0,5,6,11,17,1,1,46,10,3,0,503,58,3,12,13,43,53.60%,14,6,61,5,2,10,2,4,5,2,0,0,0,0,1,3,1,0,1,1,3,0,0,2,1,0,0,3,2,1,0,1,0,1,1,0,0,4,0,4,9,119,177,207,19,46.60%,63.50%,102,20,66,43,145,108,40.00%,25,0.52,0,19,22,22,19,2,0.37,1.21,0.37,1.21,0.79,11,2,0.11,14,0.32,0.18,52.20%,20,38,23,21,23,15382,,VAL vs YRK,FALSE,TRUE,FALSE,FALSE,TRUE,5/15/2022,7vr03vkxl0logctgpffg250yc,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,York United,Valour,VAL,0,1,Played,L 0-1,2276240,VAL vs YRK (2022-05-15)
25,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,4,2,2,1,0,8,5,2,0,0,1,0,0,0,0,0,0,1,0,0,1,10,51,13,408,209,135,0.75,0,0,0.69,1,1,4,7,11,18,1,1,57,8,0,0,575,43,4,12,10,38,84.20%,11,8,41,4,3,3,3,2,10,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,3,0,0,9,115,162,298,17,33.80%,84.30%,207,36,101,51,242,115,62.10%,29,0.34,0,20,21,21,13,4,0.3,0.45,0.3,0.45,0.75,11,2,0.06,13,0.25,0.08,46.40%,11,12,7,12,7,15382,,ATO vs YRK,FALSE,TRUE,FALSE,TRUE,FALSE,6/14/2022,7xerqz96itn6ypf93xpiv2psk,dn8tjhuq0bax4dgixqvluhzze,16614,16614,York United,Atlético Ottawa,ATO,0,0,Played,T 0-0,2276254,ATO vs YRK (2022-06-14)
25,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,2,2,0,0,2,9,2,5,0,0,0,0,0,0,0,0,3,0,0,0,3,5,58,27,407,183,139,1.25,0,0,1.05,2,1,2,9,11,12,0,0,49,5,0,0,585,45,14,9,8,43,74.20%,10,3,67,5,3,8,2,2,10,0,0,0,0,0,1,1,2,2,0,0,2,0,0,0,2,0,0,2,0,2,1,1,0,0,0,0,0,4,1,0,9,116,222,247,17,38.60%,79.10%,159,41,122,52,196,159,43.80%,16,1.59,0,18,26,26,14,3,1.13,0.11,1.13,0.11,1.25,11,8,0.1,13,0.39,0.38,36.70%,14,32,17,6,17,15382,,YRK vs FOR,TRUE,FALSE,FALSE,FALSE,TRUE,7/8/2022,7z5fba5jh59j9w8qd6hpkhq1g,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,York United,Forge,FOR,0,2,Played,L 0-2,2276268,YRK vs FOR (2022-07-08)
25,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,3,1,1,3,5,1,3,0,0,0,0,2,1,2,2,2,2,1,0,2,3,46,14,381,188,133,2.2,3,2,1.81,4,3,3,8,11,16,1,0,40,3,0,0,550,47,4,10,11,42,77.80%,17,8,41,2,4,5,4,3,3,1,0,1,0,0,4,0,3,2,1,0,3,0,0,2,1,0,0,3,3,0,0,1,0,1,1,0,1,1,2,6,10,131,212,207,16,33.90%,84.30%,141,49,131,58,171,152,52.00%,25,2.11,3,23,31,31,6,5,1.81,0.39,1.81,0.39,2.2,9,1,0.17,13,0.3,0.27,30.30%,11,19,12,11,12,15380,,PAC vs CAV,TRUE,FALSE,FALSE,TRUE,FALSE,7/1/2022,7yrpfmt0hieklfuvohyeicsno,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Pacific,Cavalry,CAV,3,3,Played,T 3-3,2276265,PAC vs CAV (2022-07-01)
25,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,10,7,3,1,1,2,0,1,1,1,1,0,4,0,3,0,2,1,1,3,4,5,56,20,402,188,138,2.19,4,3,1.29,4,3,3,8,11,12,1,1,43,9,1,1,568,33,6,10,13,48,69.60%,18,10,41,2,2,6,3,5,2,3,0,0,0,0,1,2,2,2,0,1,3,0,0,1,1,0,0,3,2,1,1,1,2,0,0,0,0,5,0,4,7,128,205,235,21,34.80%,81.10%,171,43,112,52,206,144,52.90%,17,0.8,3,17,35,35,11,2,0.4,1.8,0.4,1.8,1.4,8,4,0.16,14,0.35,0.33,31.60%,17,12,20,15,20,15380,,YRK vs PAC,FALSE,TRUE,TRUE,FALSE,FALSE,7/15/2022,7zsr4u6ec8pe3tilijgrsl8gk,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Pacific,York United,YRK,4,2,Played,W 4-2,2276273,YRK vs PAC (2022-07-15)
25,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,5,2,3,1,2,4,2,2,0,0,0,0,1,0,1,0,0,0,0,1,2,7,61,19,477,221,176,0.68,1,1,0.63,1,1,0,11,11,19,4,3,50,12,0,0,676,55,9,10,10,44,51.40%,14,6,48,2,2,9,0,4,5,1,0,1,0,0,0,0,3,3,0,0,6,0,0,2,2,1,0,4,6,0,2,2,0,3,1,0,0,0,6,2,14,169,254,253,18,36.90%,83.20%,187,70,140,96,213,168,66.70%,15,3.31,0,15,40,40,3,1,0.68,0,0.68,0,0.68,10,7,0.06,12,0.27,0.33,35.10%,12,24,24,20,24,15380,,PAC vs YRK,TRUE,FALSE,FALSE,FALSE,TRUE,9/3/2022,840arl7d06j7894p1b0hy59n8,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Pacific,York United,YRK,1,3,Played,L 1-3,2276305,PAC vs YRK (2022-09-03)
25,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,2,0,5,3,2,4,1,8,3,2,0,0,0,0,1,1,1,0,1,1,1,1,2,9,62,20,350,168,100,2.75,2,1,1.74,0,0,3,8,11,8,0,0,42,5,0,0,537,53,8,6,9,49,77.80%,24,12,40,4,5,9,3,1,7,1,0,2,0,0,0,0,2,1,1,0,2,0,0,2,0,0,0,1,1,1,0,0,0,1,1,0,0,3,1,2,18,116,191,230,21,39.10%,76.60%,134,33,101,47,174,129,50.00%,24,0.82,0,19,34,34,12,3,1.01,1.74,1.01,1.74,2.75,10,4,0.15,18,0.26,0.3,32.40%,9,15,13,11,13,15378,,PAC vs VAL,FALSE,TRUE,FALSE,TRUE,FALSE,5/28/2022,7wbfumbhncegii9hi6bdw2zv8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Valour,Pacific,PAC,2,2,Played,T 2-2,2276245,PAC vs VAL (2022-05-28)
25,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,5,5,0,3,2,4,1,2,1,1,0,0,2,0,1,0,1,0,0,2,2,6,67,32,335,136,100,2.54,2,1,1.66,4,3,2,9,11,19,4,2,50,9,2,2,514,57,10,11,10,50,55.30%,18,9,50,4,3,6,3,1,8,2,0,0,0,0,0,1,1,1,0,1,2,0,0,2,1,0,0,2,1,1,0,0,0,1,0,0,0,1,2,0,7,128,203,183,28,42.70%,70.40%,96,46,94,64,136,135,47.40%,19,1.16,2,12,37,37,10,3,1.72,0.81,1.72,0.81,1.75,10,3,0.18,14,0.25,0,40.00%,12,20,17,14,17,16614,,EDM vs ATO,FALSE,TRUE,TRUE,FALSE,FALSE,5/22/2022,7w3cr8d8o97ighxffac7o2qdw,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,1,Played,W 2-1,2276243,EDM vs ATO (2022-05-22)
37,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,6,3,3,0,3,4,1,1,0,0,3,0,1,0,0,1,1,1,0,0,3,5,65,19,359,141,134,1.44,1,1,1.29,2,2,4,6,10,18,2,2,52,11,1,1,545,39,3,14,8,40,73.90%,14,6,56,0,2,5,4,2,9,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,9,126,169,250,17,38.70%,76.60%,169,36,70,56,197,106,47.60%,21,1.03,0,13,27,27,13,0,0.67,0.77,0.67,0.77,1.44,9,6,0.11,13,0.46,0.17,43.80%,10,16,17,15,17,6925,,EDM vs ATO,TRUE,FALSE,TRUE,FALSE,FALSE,6/19/2022,7xzuakdbcwgsqg1q0iwl5x990,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Edmonton,Atlético Ottawa,ATO,1,0,Played,W 1-0,2276259,EDM vs ATO (2022-06-19)
37,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,3,1,3,0,5,4,1,0,0,0,0,1,0,1,0,1,0,0,1,2,6,43,19,411,173,176,0.86,1,1,0.76,3,3,1,9,10,13,1,1,56,10,1,1,602,43,7,17,13,50,80.00%,13,5,48,5,3,6,3,5,5,0,0,1,0,0,0,0,3,3,0,0,6,1,0,3,0,1,0,4,5,1,3,0,0,3,3,0,0,2,5,4,14,132,194,276,17,37.50%,84.90%,197,57,95,67,225,119,50.00%,18,2.21,1,20,31,31,16,3,0.83,0.03,0.83,0.03,0.86,9,3,0.07,12,0.35,0.38,24.20%,13,20,18,12,18,6925,,YRK vs EDM,FALSE,TRUE,FALSE,FALSE,TRUE,9/9/2022,84doo4howeq9u4x1tldhrcf10,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Edmonton,York United,YRK,1,3,Played,L 1-3,2276308,YRK vs EDM (2022-09-09)
37,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,3,2,1,3,1,7,2,3,0,0,0,0,0,0,0,0,2,1,0,0,1,6,61,31,333,125,116,0.94,0,0,0.8,0,0,5,5,10,35,1,0,49,10,0,0,538,50,4,11,10,34,78.90%,7,3,53,2,1,6,2,3,9,4,0,0,0,0,0,0,1,1,0,0,4,0,0,2,1,1,0,3,4,0,0,2,0,1,2,0,0,3,1,2,2,125,161,252,24,50.20%,72.40%,141,35,65,49,178,106,45.50%,22,0.99,0,23,19,19,9,6,0.33,0.61,0.33,0.61,0.94,10,2,0.07,14,0.3,0.25,36.40%,15,19,15,16,15,6925,,EDM vs CAV,TRUE,FALSE,FALSE,FALSE,TRUE,9/17/2022,852iv3o34tu5364nqd735z578,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,0,1,Played,L 0-1,2276313,EDM vs CAV (2022-09-17)
37,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,10,8,2,1,1,6,4,0,0,0,0,0,4,0,4,1,2,1,1,2,5,8,48,21,428,161,198,3.11,4,3,1.7,3,2,2,8,10,29,3,1,59,16,0,0,651,50,7,17,12,40,88.90%,3,2,65,4,0,6,5,5,5,4,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,3,0,2,18,232,181,238,35,32.90%,83.90%,153,104,102,127,175,126,33.30%,12,0.29,3,22,19,19,18,3,2.29,0.82,2.29,0.82,3.11,7,1,0.17,18,0.09,0,34.10%,20,22,6,22,6,15377,,HFX vs FOR,FALSE,TRUE,TRUE,FALSE,FALSE,5/20/2022,7w7dgxwol442zyz8grc7u1ams,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,4,0,Played,W 4-0,2276244,HFX vs FOR (2022-05-20)
37,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,7,6,1,2,0,6,3,2,0,0,1,0,3,0,3,0,2,0,0,3,1,10,64,16,438,172,186,2.43,3,2,1.41,3,2,2,8,10,21,2,1,41,8,0,0,643,52,5,13,10,46,60.00%,16,4,62,2,0,9,3,5,4,4,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,1,0,1,0,1,1,0,0,4,1,0,10,180,158,305,28,32.00%,81.70%,203,78,77,99,244,95,33.30%,9,0.62,2,23,27,27,15,4,2,0.44,2,0.44,2.43,8,0,0.16,15,0.22,0.23,37.10%,21,19,16,14,16,15377,,HFX vs FOR,FALSE,TRUE,TRUE,FALSE,FALSE,6/19/2022,7xvsf3fgbgnwncemwnp93hzpw,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,3,0,Played,W 3-0,2276258,HFX vs FOR (2022-06-19)
37,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,4,3,1,2,1,5,3,2,0,0,0,0,0,0,0,0,0,1,0,0,3,5,56,17,523,202,248,0.83,0,0,0.7,2,1,1,9,10,21,3,1,42,8,0,0,712,52,5,10,8,33,62.50%,10,5,59,3,1,9,3,1,7,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,217,137,358,22,30.80%,86.00%,268,101,81,123,302,98,40.00%,20,0.57,0,28,20,20,12,1,0.66,0.17,0.66,0.17,0.83,10,2,0.07,12,0.14,0.17,41.90%,16,15,9,12,9,15377,,FOR vs VAL,TRUE,FALSE,FALSE,FALSE,TRUE,6/29/2022,7yj36pgn8zjx4v0cdgcna9tzo,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Forge,Valour,VAL,0,1,Played,L 0-1,2276263,FOR vs VAL (2022-06-29)
37,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,4,4,0,1,2,4,1,3,0,0,0,0,4,0,4,1,1,1,1,2,2,4,48,16,513,221,228,1.56,4,4,1.55,5,5,0,10,10,29,1,1,37,11,1,1,699,57,5,6,2,25,47.80%,11,8,48,2,1,4,1,3,7,1,1,0,0,0,0,1,0,0,0,0,4,0,0,2,3,0,1,4,3,1,1,0,0,0,1,0,0,0,1,6,18,165,171,363,21,33.30%,87.50%,268,78,103,93,303,117,44.40%,9,0.54,4,13,18,18,4,3,1.55,0.01,1.55,0.01,1.56,6,3,0.14,11,0.38,0.4,47.10%,16,13,17,13,17,15377,,ATO vs FOR,FALSE,TRUE,TRUE,FALSE,FALSE,7/31/2022,817q49tp38mbk6uwe6g276g44,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Forge,Atlético Ottawa,ATO,4,0,Played,W 4-0,2276284,ATO vs FOR (2022-07-31)
37,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,3,1,2,1,8,4,3,0,0,2,0,0,0,1,0,2,0,0,0,6,4,55,24,448,225,144,1.44,1,0,1.17,2,2,1,9,10,26,2,2,41,14,3,2,628,37,2,8,6,25,71.40%,8,6,49,2,2,7,4,1,5,1,0,0,0,0,1,0,1,1,0,0,3,0,0,2,2,0,0,3,1,2,0,1,0,1,0,0,0,1,2,2,7,152,173,303,26,30.60%,82.40%,210,57,102,74,255,119,63.60%,11,0.82,0,15,19,19,3,3,1.06,0.38,1.06,0.38,1.44,10,3,0.1,15,0.13,0.08,36.10%,21,15,7,22,7,15377,,EDM vs FOR,FALSE,TRUE,FALSE,TRUE,FALSE,9/25/2022,85tmeu1ey0zeknwo2fczri2vo,73xrv2025rnj0t3y9ayp83bec,6925,6925,Forge,Edmonton,EDM,1,1,Played,T 1-1,2276319,EDM vs FOR (2022-09-25)
