Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,newestTeamColor,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox
20,3y5rrahty1k0l1hnww3bcozmy,650368,O. De Rosario,Osaze De Rosario,Centre Forward,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,429109,Osaze,De Rosario,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,York United,25,1909,21,3,11,3,23,18,5,5,5,17,6,9,2,1,0,0,9,2,9,1,6,2,1,9,5,26,72,21,368,104,171,8.36,11,3,2.4,16,3,0,17,17,48,9,3,98,13,1,0,678,175,8,2,8,33,41.70%,14,10,57,24,5,18,8,1,19,21,4,0,0,0,0,0,30,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,2,38,310,44,324,94,18.50%,74.70%,171,97,7,139,212,17,51.00%,98,26.7,8,4,20,20,10,3,4.62,3.74,4.62,3.74,6.78,14,2,0.17,50,0,0,36.60%,33,493,402,30,402
20,8e41frophez1otbzaamqxzip6,567825,Roberto Alarcón,Roberto Alarcón,Right Back,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,503929,Roberto,Alarcón,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Cavalry,13,902,24,3,3,0,2,1,1,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,51,26,485,202,206,0.16,0,2,1.73,0,3,5,12,17,31,0,0,75,20,1,1,783,43,11,14,6,47,86.20%,14,5,59,0,2,14,4,8,10,0,5,0,0,0,0,0,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,8,229,210,344,3,38.10%,84.10%,237,79,92,87,273,125,66.70%,12,9.73,0,69,35,35,9,3,0.1,0.06,0.1,0.06,0.16,15,1,0.03,6,0.23,0.22,39.40%,13,183,168,9,168
20,5ggjixg89r56xz7skcr1v9rf8,790768,S. Salter,Samuel Salter,Centre Forward,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,#0066CC,531507,Samuel,Salter,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,HFX Wanderers,25,1725,22,6,11,4,19,19,0,7,1,18,2,11,6,6,0,0,10,0,3,0,6,3,9,1,18,10,98,27,451,111,215,9.43,10,0,2.14,15,3,1,16,17,53,6,2,95,23,0,0,758,125,9,9,7,36,62.10%,11,8,62,18,1,11,11,2,9,10,7,0,0,0,0,0,25,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,34,6,28,368,75,315,101,20.20%,72.30%,162,142,22,204,213,34,47.80%,67,22.78,8,10,19,19,11,6,3.59,5.84,3.59,5.84,4.7,17,2,0.21,45,0.3,0.3,37.80%,25,571,384,45,384
24,2yory0v0jjh4vc2g7j5psijth,195051,C. Haworth,Carl Haworth,Right Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,111533,Carl,Haworth,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Atlético Ottawa,21,1137,33,11,4,0,2,0,2,0,1,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,3,82,22,383,115,164,0.35,0,3,2.69,1,5,3,13,16,31,1,1,55,11,6,4,624,62,9,10,5,43,61.30%,17,10,53,2,4,5,5,1,8,2,4,0,0,0,0,0,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,12,226,106,292,24,35.00%,72.80%,176,75,28,106,226,51,57.90%,19,15.02,0,43,35,35,4,4,0.24,0.11,0.24,0.11,0.35,13,2,0.06,6,0.21,0.13,34.40%,10,412,338,28,338
24,16q3kpp7uxqjn9993xd5woauh,323646,D. Gutiérrez,Diego Gutiérrez,Defensive Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,213571,Diego,Gutiérrez,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Valour,23,1902,25,1,4,0,4,0,4,1,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,2,7,153,45,1243,539,506,0.47,0,0,0.88,0,1,3,13,16,35,2,1,112,16,1,0,1591,112,20,46,27,120,71.00%,22,7,180,5,7,22,2,8,6,0,8,0,0,0,0,0,17,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,2,21,247,343,1001,7,30.80%,84.10%,737,128,180,161,865,217,53.80%,26,21.76,0,24,70,70,40,10,0.26,0.22,0.26,0.22,0.47,16,4,0.03,15,0.17,0.27,37.60%,54,447,319,35,319
24,3hebpt7rddccp0powpyfwri7d,244528,T. Campbell,Terran Campbell,Centre Forward,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,#CC6633,243961,Terran,Campbell,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Forge,24,1261,23,10,10,2,12,12,0,8,0,7,2,3,1,0,0,0,6,0,5,1,1,2,4,1,12,4,62,6,385,83,234,5.18,6,4,2.7,12,5,0,16,16,37,6,2,49,12,1,1,608,80,4,12,5,26,57.10%,5,2,46,5,3,5,5,0,7,11,5,0,0,0,0,0,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,6,21,326,29,253,68,20.80%,82.30%,150,156,11,198,173,14,42.90%,21,11.51,6,9,8,8,13,5,3.12,2.06,3.12,2.06,4.4,12,0,0.19,27,0.44,0.44,43.80%,24,395,281,32,281
24,6cd1hn16e1opa0gzfkefmpnu,738138,M. Camara,Mamadi Camara,Centre Forward,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,474165,Mamadi,Camara,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Edmonton,24,1832,27,1,12,0,9,9,0,3,2,6,2,3,0,0,0,0,4,0,4,0,2,1,1,3,6,6,74,18,431,162,177,5,4,1,0.81,11,0,0,16,16,32,2,0,89,14,0,0,675,123,11,20,10,47,72.10%,6,4,88,6,8,10,8,4,11,12,4,0,0,0,0,0,37,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,4,22,206,94,375,46,21.80%,78.70%,218,75,46,109,263,59,29.60%,71,31.72,4,0,17,17,25,5,4.07,0.93,4.07,0.93,5,15,4,0.25,20,-,-,31.20%,28,498,435,24,435
28,97h9y7sc3o8e0gvazfd375cdl,504778,S. Gutiérrez,Sebastián Gutiérrez,Left Attacking Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,233484,Sebastián,Gutiérrez,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,York United,16,661,24,8,8,1,7,4,3,2,2,9,4,5,0,0,0,0,2,0,2,0,1,0,1,1,2,13,49,10,193,49,85,1.88,2,1,0.9,2,2,3,12,15,34,6,3,55,17,1,1,369,77,9,20,10,39,54.70%,0,0,37,10,0,12,0,1,7,2,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,12,157,55,157,27,30.10%,69.40%,71,47,16,69,100,24,14.30%,7,6.43,1,13,12,12,17,10,1.73,0.15,1.73,0.15,1.88,14,1,0.09,20,0.38,0.33,38.10%,12,335,256,16,256
28,7vn8g8wlm99npne5i8fwv3vft,540884,O. Dada-Luke,Olakunle Dada-Luke,Right Back,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,#00FFFF,421826,Olakunle,Dada-Luke,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Pacific,20,1580,22,2,5,0,4,3,1,1,0,2,1,1,0,0,0,0,1,0,1,0,1,0,0,1,3,2,86,36,657,272,263,0.41,1,1,1.55,1,2,0,15,15,68,3,2,153,35,0,0,1205,93,21,38,27,112,88.10%,24,11,81,3,6,9,7,13,15,0,3,0,0,0,0,0,28,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,12,22,378,347,480,17,33.50%,81.40%,267,145,123,174,318,165,55.80%,43,25.32,0,60,74,74,33,5,0.41,0,0.41,0,0.41,14,2,0.06,7,0.18,0.18,34.10%,18,412,311,16,311
28,4x9j9kpa9vap3r780lx9ty2ju,575544,C. Toussaint,Cédric Toussaint,Defensive Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,#00FFFF,427385,Cédric,Toussaint,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Pacific,20,1138,21,9,5,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,81,29,624,259,255,0.29,0,2,1.38,0,1,2,13,15,10,0,0,61,6,1,1,793,72,9,23,22,67,60.40%,12,5,77,5,2,15,1,4,11,0,3,0,0,0,0,0,18,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,22,0,10,110,192,491,5,35.70%,82.40%,344,63,107,78,417,129,30.40%,23,20.51,0,7,34,34,29,4,0.26,0.03,0.26,0.03,0.29,13,1,0.06,5,0.14,0.14,37.50%,17,409,360,19,360
28,6oy4mzcnojabnil6u43mxal4a,752927,M. Shaw,Malcolm Shaw,Centre Forward,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,478934,Malcolm,Shaw,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Atlético Ottawa,18,1210,27,5,11,1,13,11,2,7,2,6,2,3,0,0,1,0,2,1,3,1,1,4,0,2,1,13,41,11,219,67,100,3.55,3,1,1.66,4,2,0,15,15,23,2,1,69,10,1,0,465,116,3,12,6,29,68.20%,8,6,43,14,3,12,5,4,20,11,5,0,0,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,33,191,54,220,38,21.00%,76.30%,91,66,10,85,115,19,30.60%,49,15.58,1,7,14,14,10,5,2.81,0.74,2.81,0.74,3.55,14,0,0.13,28,0.29,0.29,36.00%,12,404,314,9,314
28,6f8o1o8adqhvar5n92brgfnjd,273968,P. Lamothe,Pierre Lamothe,Central Midfielder,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,#0066CC,244283,Pierre,Lamothe,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,HFX Wanderers,19,1327,25,4,9,1,6,2,4,3,1,11,7,4,0,0,1,0,1,1,2,0,1,0,0,2,2,14,59,31,666,275,301,1.31,2,0,1.08,1,1,5,10,15,30,1,1,65,14,3,2,918,97,8,24,7,49,57.10%,10,4,79,8,8,17,1,1,15,2,4,0,0,0,0,0,16,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,4,21,231,163,524,23,28.10%,86.50%,381,107,88,134,423,109,25.00%,8,15.31,0,23,21,21,23,5,1.23,0.08,1.23,0.08,1.31,15,2,0.06,21,0.35,0.14,37.50%,19,531,375,21,375
33,cfffc2qdknupbftpqye1cbf1l,312918,Molhem Babouli,Molhem Babouli,Centre Attacking Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,224168,Molhem,Babouli,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,York United,7,564,29,1,1,0,12,9,3,2,1,3,3,0,1,1,2,0,5,0,4,1,0,2,0,4,3,10,41,6,242,57,138,2.36,5,2,1.97,4,5,4,10,14,36,1,1,44,23,4,1,406,41,0,3,4,7,27.30%,0,0,30,0,0,0,7,2,8,0,1,0,0,0,0,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,20,176,28,202,23,39.70%,80.60%,112,68,15,84,138,20,33.30%,6,5.26,3,32,0,0,4,3,1.35,1.01,1.35,1.01,1.57,12,0,0.13,18,0.22,0,33.60%,12,119,105,22,105
33,bri3rn6ch0k8k4q9mpjc8q19l,275989,B. Wright,Brian Wright,Centre Forward,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,180233,Brian,Wright,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Atlético Ottawa,23,1214,27,7,15,2,11,11,0,1,0,8,1,5,1,1,0,0,6,0,5,0,4,0,1,5,2,13,77,20,227,53,77,5.02,6,2,1.03,10,2,0,14,14,30,4,1,69,4,1,1,417,76,1,3,1,14,100.00%,9,8,22,5,0,7,4,1,21,6,5,0,0,0,0,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,12,11,191,24,202,52,28.60%,57.30%,68,59,3,99,120,8,50.70%,71,15.6,6,8,11,11,3,0,3.69,1.33,3.69,1.33,4.23,12,1,0.25,20,0.38,0.38,35.00%,9,506,429,24,429
33,bxbh5i1uqhe22e2cft5x6fl2i,765154,C. N'Sa,Chrisnovic N'Sa,Right Back,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,425644,Chrisnovic,N'Sa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,York United,25,2243,23,0,0,2,5,3,2,1,1,4,0,4,0,0,0,0,0,2,2,0,0,0,2,0,5,4,90,39,911,444,338,0.72,2,1,1.32,0,2,1,13,14,58,4,2,168,34,2,1,1649,108,23,51,40,160,77.90%,39,20,145,10,7,12,5,21,18,5,7,0,0,0,0,0,32,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,44,4,22,416,512,721,27,32.40%,85.80%,423,139,220,164,488,259,51.60%,31,30.6,0,71,107,107,43,10,0.72,0,0.72,0,0.72,13,10,0.07,11,0.2,0.2,36.80%,31,474,396,26,396
33,36rdw5qnbds89elpiwowqtt2i,569043,M. Hernández,Mateo Hernández,Right Attacking Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,222603,Mateo,Hernández,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,York United,16,969,23,4,9,0,4,3,1,0,1,7,3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,10,75,12,359,119,153,1.03,0,1,1.03,1,2,3,11,14,24,0,0,51,8,0,0,581,67,9,14,13,46,71.90%,10,5,62,11,5,14,4,5,5,1,3,0,0,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,19,4,9,199,106,276,23,36.20%,75.80%,167,56,49,82,217,60,42.90%,14,13.98,0,49,24,24,16,6,0.92,0.11,0.92,0.11,1.03,13,2,0.09,12,0.24,0.19,36.80%,21,337,277,16,277
37,9ddoyq4wpjjr58e8g8g5z3h7t,295844,S. Shome,Shamit Shome,Central Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,225062,Shamit,Shome,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Edmonton,22,1795,25,1,7,0,0,0,0,3,2,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,113,40,612,168,291,0.6,0,1,0.86,1,3,1,12,13,27,1,0,100,10,6,1,899,74,18,26,26,89,73.30%,18,10,95,3,3,15,2,4,18,0,3,0,0,0,0,0,36,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,6,10,202,172,525,16,44.90%,75.00%,305,93,61,129,395,88,57.90%,38,30.41,0,12,47,47,35,7,0.4,0.21,0.4,0.21,0.6,12,4,0.05,13,0.33,0.33,31.70%,32,437,395,27,395
37,bfjcp5933vk1i5edea8un89re,336147,Gianni dos Santos,Gianni dos Santos,Left Attacking Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,#00FFFF,442538,Gianni,dos Santos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Pacific,21,994,23,12,5,0,18,8,10,0,6,10,8,2,0,0,7,0,2,1,2,1,1,1,0,2,2,24,57,7,203,62,77,2.91,3,1,1.06,2,2,6,7,13,44,2,2,57,13,3,2,523,70,6,11,9,32,65.40%,5,4,37,4,4,9,12,3,11,2,1,0,0,0,0,0,16,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,14,13,288,64,171,32,26.60%,68.50%,75,45,19,71,107,25,12.50%,8,14.74,1,100,19,19,10,3,1.4,1.52,1.4,1.52,2.91,12,2,0.09,34,0.23,0.19,35.50%,12,470,331,15,331
39,am6blpv9h0wzsn8rjv1q0zpp1,195876,A. Díaz,Alejandro Díaz,Centre Forward,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,#00FFFF,173493,Alejandro,Díaz,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Pacific,18,1444,26,1,9,4,21,20,1,4,2,13,2,7,3,3,1,0,13,0,9,4,4,5,3,6,7,18,81,22,348,85,160,9.76,13,3,1.95,17,3,1,11,12,13,2,1,43,7,2,1,543,79,2,8,4,22,43.50%,8,4,32,9,0,9,1,0,8,10,5,0,0,0,0,0,21,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,17,255,41,247,67,30.20%,70.40%,135,96,14,133,192,23,37.80%,45,18.59,12,10,12,12,6,4,5.88,3.88,5.88,3.88,7.39,9,1,0.24,40,0.1,0.1,36.40%,19,392,238,24,238
39,eoiimmhy0bdg3guq88jihpyol,108178,J. Mason,Joe Mason,Centre Forward,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,73442,Joe,Mason,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Cavalry,19,1553,31,1,7,3,24,21,3,11,3,9,1,7,0,0,0,0,6,1,6,2,4,7,1,4,6,16,43,3,237,61,130,6.28,7,0,1.29,11,1,1,11,12,18,3,0,35,4,0,0,432,90,1,3,2,13,57.10%,7,6,28,11,0,9,7,0,5,22,6,0,0,0,0,0,20,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,2,21,276,19,137,91,13.50%,80.60%,85,100,6,132,99,6,29.40%,51,18.6,4,12,8,8,3,2,5.61,0.68,5.61,0.68,6.28,12,0,0.13,47,0.08,0.08,36.10%,17,300,262,22,262
39,6re26cen7xbrynezb3rerst05,257355,S. Camargo,Sergio Camargo,Centre Attacking Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,112657,Sergio,Camargo,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Cavalry,14,785,28,5,7,0,6,5,1,0,0,6,1,5,0,0,1,0,1,1,2,0,0,0,0,2,2,10,50,12,254,48,144,1.33,2,0,1.26,4,1,5,7,12,26,3,3,25,11,0,0,394,47,1,1,2,6,28.60%,2,2,34,3,0,4,6,0,4,3,1,0,0,0,0,0,11,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,13,197,20,177,34,28.70%,75.60%,105,77,10,104,135,15,20.00%,10,9.83,1,30,3,3,3,0,1.09,0.24,1.09,0.24,1.33,12,0,0.11,12,0.3,0.23,34.00%,14,269,212,24,212
39,246l8ttdytxycwsbi5sg12ei,336188,D. Klomp,Daan Klomp,Right Centre Back,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,429310,Daan,Klomp,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,Cavalry,23,1885,24,2,3,0,3,3,0,2,0,9,1,1,0,0,0,0,2,0,0,1,7,2,0,0,0,2,127,59,1259,652,421,1.72,2,2,1.6,2,2,3,9,12,11,0,0,97,7,0,0,1617,84,22,28,35,133,84.70%,43,19,108,2,6,19,0,0,2,1,5,0,0,0,0,0,28,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,0,19,220,653,744,36,40.90%,85.20%,576,96,401,130,658,471,58.50%,65,24.2,0,11,103,103,22,8,0.14,1.58,0.14,1.58,1.72,10,13,0.12,14,0.18,0.18,36.50%,12,397,324,47,324
39,8uqytik44ro3mbkz0s8m163xm,765156,A. Rampersad,Andre Rampersad,Central Midfielder,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,#0066CC,481762,Andre,Rampersad,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,HFX Wanderers,24,2097,27,0,1,0,6,4,2,2,2,14,3,1,0,0,0,0,0,0,0,0,9,3,0,0,0,8,126,61,1203,568,448,2.01,0,0,1.07,0,2,2,10,12,61,2,0,159,37,1,1,1585,118,16,20,34,115,66.70%,42,27,208,4,8,14,2,15,13,1,9,0,0,1,0,0,29,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,0,17,207,499,879,40,31.60%,84.50%,651,92,273,119,751,333,62.20%,90,25.43,0,12,84,84,25,6,0.69,1.32,0.69,1.32,2.01,12,12,0.08,24,0.08,0.08,37.40%,53,525,366,38,366
39,8texi81doeqhy7eu6fnhrstbe,639232,J. Assi,Jean-Aniel Assi,Right Attacking Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,496689,Jean-Aniel,Assi,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Cavalry,18,776,18,9,9,0,2,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,45,10,221,50,116,1.9,0,2,1.44,2,1,0,12,12,34,2,1,43,13,0,0,419,52,3,14,5,26,77.30%,4,1,37,4,3,4,5,2,4,9,3,0,0,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,10,17,219,61,139,36,28.10%,75.10%,68,83,15,113,81,27,28.60%,7,11.28,0,21,11,11,7,8,1.81,0.1,1.81,0.1,1.9,10,0,0.38,5,0.29,0.29,37.00%,12,295,236,27,236
39,4qii6ycyfpukpd538kwp1fms4,948552,Z. Bahous,Zakaria Bahous,Central Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,566723,Zakaria,Bahous,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Atlético Ottawa,24,1272,21,9,13,0,2,1,1,6,6,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,74,14,453,131,234,1.44,0,0,0.82,0,0,0,12,12,49,8,2,80,25,6,2,722,91,16,26,14,64,65.60%,5,2,78,5,1,11,3,4,4,0,5,0,0,0,0,0,13,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,17,262,121,339,43,27.80%,80.60%,202,127,36,154,248,51,17.60%,17,10.5,0,13,30,30,28,6,1.22,0.22,1.22,0.22,1.44,12,2,0.07,22,0.31,0.31,34.20%,19,495,417,32,417
46,apavbqkzwn6ik22hi8d8mo1qt,227291,M. Tissot,Maxim Tissot,Left Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,153578,Maxim,Tissot,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Atlético Ottawa,25,2056,30,0,14,0,7,6,1,1,1,9,6,2,0,0,3,0,1,0,1,0,1,0,1,0,14,1,132,66,770,294,278,1.25,1,2,1.06,1,1,2,9,11,33,3,0,76,11,1,0,1315,86,12,14,30,99,68.40%,39,18,97,6,4,8,7,5,10,3,10,0,0,0,0,0,22,17,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,8,19,363,403,549,40,40.00%,74.30%,323,117,132,160,399,211,45.90%,37,25.46,1,65,81,81,12,6,0.73,0.52,0.73,0.52,1.25,9,8,0.07,18,0.22,0.19,34.90%,13,498,424,31,424
46,eyems8p1wpp6df9w1wz6rdvpx,226323,B. McKendry,Ben McKendry,Central Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,203479,Ben,McKendry,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Atlético Ottawa,23,986,29,12,6,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50,23,376,178,125,0.26,0,1,1.28,1,1,4,7,11,17,2,2,73,7,1,0,555,50,20,26,21,80,74.20%,12,5,76,0,5,12,0,5,7,0,3,0,0,0,0,0,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,4,71,156,328,8,32.70%,80.60%,209,27,67,36,252,88,61.50%,13,10.89,0,10,43,43,32,5,0.23,0.03,0.23,0.03,0.26,10,6,0.09,3,0.3,0.2,34.60%,20,468,385,9,385
