Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,newestTeamColor,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox
11,lu6un7dbprss3ptkqtv9tk9,285484,B. Tabla,Ballou Tabla,Centre Forward,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,225063,Ballou,Tabla,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Atlético Ottawa,26,1963,23,2,18,2,17,15,2,8,8,21,5,15,1,1,0,0,5,1,5,0,0,0,2,4,9,29,74,21,480,109,276,6,6,4,3.38,9,5,7,19,26,103,18,11,139,55,3,2,893,121,15,16,8,42,73.80%,2,0,90,8,3,14,10,4,29,10,7,0,0,0,0,0,22,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,6,30,422,87,384,109,31.30%,80.20%,182,169,34,204,232,44,40.00%,25,22.96,4,24,17,17,18,7,4.08,1.92,4.08,1.92,5.21,22,0,0.11,54,0.33,0.33,35.00%,32,506,429,48,429
12,83d29e64znddf9kkyo62u4g6h,560974,N. Verhoeven,Noah Verhoeven,Defensive Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,424288,Noah,Verhoeven,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,York United,22,1782,23,1,7,0,2,0,2,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,122,38,924,372,392,0.28,0,2,1.36,0,3,14,11,25,14,0,0,59,7,2,1,1155,76,10,19,14,53,51.80%,10,2,126,5,4,14,1,4,13,1,4,0,0,0,0,0,27,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,0,10,201,194,760,5,36.50%,82.70%,577,80,107,106,677,141,31.30%,16,25.34,0,69,28,28,20,5,0.22,0.06,0.22,0.06,0.28,23,1,0.03,10,0.38,0.33,36.20%,36,429,367,32,367
13,ewjp0ru1c4fn1h5bqyqdih0wl,168287,B. Fisk,Ben Fisk,Right Attacking Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,152275,Ben,Fisk,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Cavalry,24,1197,29,10,11,0,7,3,4,3,4,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,9,87,19,483,126,251,0.86,0,1,2.03,1,1,4,20,24,14,1,0,34,6,2,1,692,52,9,8,1,22,54.80%,3,2,69,2,3,8,1,3,4,0,4,0,0,0,0,0,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,11,296,79,317,18,34.80%,78.10%,204,137,36,172,259,52,33.30%,9,14.08,0,66,10,10,6,6,0.59,0.27,0.59,0.27,0.86,23,0,0.05,19,0.24,0.17,35.20%,20,385,326,35,326
13,1jw8ni6v99xnlou4wf0j47dnt,327118,T. Warschewski,Tobias Warschewski,Centre Forward,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,228664,Tobias,Warschewski,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Edmonton,22,1611,24,4,8,1,21,11,10,3,8,16,13,2,2,2,9,1,4,2,2,0,1,2,0,6,5,29,108,15,439,90,226,4.24,6,4,2.81,3,3,6,18,24,113,6,3,191,55,3,2,1022,200,12,20,11,48,69.60%,4,3,98,7,4,12,11,11,42,6,2,0,0,0,0,0,34,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,8,74,450,104,468,42,33.50%,72.00%,176,118,22,164,244,31,50.60%,79,28.32,3,75,15,15,27,6,1.85,2.39,1.85,2.39,2.67,20,2,0.09,48,0.19,0.17,31.50%,40,421,395,40,395
13,cbw3da3l9qi13ludkt9181z9x,233126,A. Musse,Ali Musse,Centre Attacking Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,173265,Ali,Musse,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Cavalry,25,1790,26,5,11,2,23,14,9,7,8,25,15,8,0,0,3,1,3,3,5,0,5,3,5,1,33,6,74,17,452,109,252,5.19,6,2,3.12,8,3,12,12,24,86,7,2,118,41,1,1,931,144,11,17,10,39,56.00%,1,0,78,12,2,5,13,3,21,3,7,0,0,0,0,0,25,20,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,8,44,507,76,348,70,22.10%,79.90%,181,147,33,195,220,37,38.70%,31,21.21,3,75,9,9,19,11,4.16,1.03,4.16,1.03,5.19,22,6,0.08,63,0.28,0.27,36.50%,36,397,324,13,324
16,37pbdttxfaqvayoufo0q0dxey,672862,D. Abzi,Diyaeddine Abzi,Left Back,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,453335,Diyaeddine,Abzi,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,York United,10,837,23,1,0,0,6,1,5,0,3,6,0,5,0,0,4,0,0,0,0,0,0,0,0,0,9,3,51,36,373,157,129,1.07,0,1,2.28,2,4,9,12,21,50,3,2,68,20,0,0,717,61,9,18,7,45,75.00%,9,4,95,4,4,3,3,4,11,1,5,0,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,10,229,209,279,20,38.90%,76.70%,163,38,85,54,199,120,42.90%,7,6.27,0,59,30,30,7,8,0.77,0.3,0.77,0.3,1.07,20,1,0.07,15,0.32,0.28,41.40%,20,193,133,16,133
17,3wyn5e0uz5jfilp065m3qynoq,849475,A. Sissoko,Aboubacar Sissoko,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,#CC6633,501450,Aboubacar,Sissoko,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,24,2005,26,0,9,2,4,4,0,2,2,8,4,4,0,0,0,0,3,0,2,1,1,1,1,1,2,8,174,33,966,226,533,2.53,3,3,1.82,5,6,0,20,20,62,3,1,149,34,3,1,1399,118,16,22,17,73,73.10%,16,8,118,7,1,16,12,18,30,6,7,0,0,1,0,0,22,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,37,516,186,697,49,35.40%,78.60%,431,259,69,343,535,88,48.60%,35,18.23,3,20,36,36,26,11,2.24,0.28,2.24,0.28,2.53,17,3,0.16,16,0.2,0.2,44.10%,48,405,269,72,269
18,bwozu57m3yt2hypmbqe1hlbyt,313308,M. Dyer,Moses Dyer,Centre Forward,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,210152,Moses,Dyer,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Valour,21,1840,25,1,4,3,25,21,4,11,2,23,6,9,3,3,1,0,9,0,5,2,8,5,2,5,11,24,130,28,552,137,257,7.21,9,2,1.92,12,4,5,13,18,59,4,2,136,22,3,2,976,203,12,15,13,58,73.00%,18,14,71,20,3,21,18,2,25,4,8,0,0,0,0,0,21,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,35,14,53,429,104,443,93,30.30%,71.40%,229,129,36,185,312,55,38.70%,111,27.61,8,9,29,29,23,6,2.97,4.23,2.97,4.23,5.45,16,3,0.12,61,0.22,0.22,37.50%,35,439,312,46,312
18,dryx6vgko76wuqqr4g9pjl4ru,849653,S. Young,Sean Young,Central Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,#00FFFF,509902,Sean,Young,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Pacific,20,1296,21,6,9,0,5,4,1,6,4,6,2,2,0,0,0,0,1,0,1,0,2,1,0,1,0,8,91,34,740,318,297,1.11,1,0,1.46,0,3,2,16,18,26,1,0,71,13,0,0,971,93,12,18,26,65,63.80%,8,6,122,9,7,12,5,2,7,1,6,0,0,0,0,0,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,4,20,219,237,515,28,29.30%,83.10%,377,92,146,127,437,176,42.40%,33,15.83,0,9,26,26,26,13,0.78,0.33,0.78,0.33,1.11,18,3,0.05,21,0,0,34.80%,42,390,292,22,292
20,7e4doqzolxn7u9s2txuyclejt,261926,A. Daniels,Aidan Daniels,Central Midfielder,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,#0066CC,244377,Aidan,Daniels,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,HFX Wanderers,19,1271,24,3,11,0,10,4,6,1,6,9,8,1,0,0,0,0,1,0,0,0,0,0,1,0,4,15,71,23,501,179,228,1.04,1,0,1.2,1,0,4,13,17,45,2,1,69,18,1,0,774,76,16,16,11,48,76.20%,4,1,65,3,2,5,4,1,6,2,3,0,0,0,0,0,24,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,10,31,278,109,387,24,27.70%,81.20%,243,111,53,142,288,71,72.70%,11,19.68,1,32,14,14,20,14,0.77,0.27,0.77,0.27,1.04,17,3,0.04,26,0.44,0.44,38.20%,27,520,358,19,358
