Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,DuelPercent,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,DefensiveBlocks,xG Per Shot,Shots Total,Cross_Success_Percentage,Cross_Success_Percentage_Open_Play,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
47,1,3wyn5e0uz5jfilp065m3qynoq,501450,90,25,Central Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,62,31,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50.00%,0,0,80,5,1,0,0,3,100.00%,2,0,10,1,0,1,0,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,22,50,1,38.70%,88.70%,37,4,14,6,16,40,0,18.1,0,100.00%,1,0,0,0,0,0,0,0,79.20%,3,0,0,0,0,0,0,1,-,0,-,-,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15381,3wyn5e0uz5jfilp065m3qynoq:2126244,CAV vs HFX (2020-08-24)
352,1,3wyn5e0uz5jfilp065m3qynoq,501450,90,25,Central Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,4,41,14,16,0.11,0,0,0,0,0,0,0,0,0,0,0,2,0,18.18%,1,0,50,9,0,1,0,1,25.00%,0,0,4,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,13,24,1,43.90%,73.20%,16,6,8,8,11,22,0,17.5,3,0.00%,2,0,27,0,0,0,0,0,55.60%,0,1,0,0.03,0.08,0.11,0,1,0.04,3,-,-,VAL vs HFX,2020-09-02,7uo653c2y32d06v6dq2as5t04,15378,3wyn5e0uz5jfilp065m3qynoq:2126261,VAL vs HFX (2020-09-02)
737,1,3wyn5e0uz5jfilp065m3qynoq,501450,28,25,Left Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,18,6,9,0,0,0,0.06,0,0,0,1,1,0,0,0,1,0,100.00%,0,0,24,0,1,0,0,2,100.00%,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,11,1,38.90%,83.30%,7,4,4,4,5,9,0,14,0,-,0,0,0,0,0,0,0,0,57.10%,2,0,0,0,0,0,1,1,-,0,-,-,HFX vs FOR,2020-09-09,8plkm1srpcwr60o1i31ksltsk,15377,3wyn5e0uz5jfilp065m3qynoq:2137183,HFX vs FOR (2020-09-09)
1046,1,3wyn5e0uz5jfilp065m3qynoq,501450,1,25,Centre Attacking Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.00%,100.00%,1,0,0,0,0,1,0,35.3,0,-,0,0,0,0,0,0,0,0,100.00%,0,0,0,0,0,0,0,0,-,0,-,-,HFX vs YRK,2020-08-29,7ubxnr535nkdppzi934wdbdhw,15382,3wyn5e0uz5jfilp065m3qynoq:2126256,HFX vs YRK (2020-08-29)
69,1,3wyn5e0uz5jfilp065m3qynoq,501450,90,25,Defensive Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,55,22,23,0,0,0,0.08,0,0,1,1,2,1,0,0,8,1,80.00%,0,0,75,2,0,5,2,12,100.00%,5,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,24,46,0,38.20%,81.80%,33,3,9,4,13,38,0,19.1,0,100.00%,2,0,0,0,0,0,0,0,66.70%,8,4,0,0,0,0,2,2,-,0,-,-,HFX vs ATO,2020-09-06,7uyp0xq7ry9gphpbd0m2m60ic,16614,3wyn5e0uz5jfilp065m3qynoq:2126270,HFX vs ATO (2020-09-06)
93,1,3wyn5e0uz5jfilp065m3qynoq,501450,90,25,Defensive Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,59,27,19,0,0,0,0,0,0,0,0,0,1,1,1,4,1,50.00%,0,0,72,4,0,0,2,4,0.00%,2,1,7,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,18,50,2,27.10%,78.00%,35,1,10,2,13,44,0,18.5,1,0.00%,1,0,0,0,0,0,0,0,50.00%,2,2,0,0,0,0,0,0,-,0,-,-,FOR vs HFX,2020-09-19,5mrmbr6tngz69e9qmsn1b845w,15377,3wyn5e0uz5jfilp065m3qynoq:2137188,FOR vs HFX (2020-09-19)
252,1,3wyn5e0uz5jfilp065m3qynoq,501450,90,25,Central Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,39,11,18,0,0,0,0,0,0,0,0,0,5,0,0,12,5,57.14%,0,0,57,9,1,3,1,5,66.70%,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,17,13,27,2,48.70%,74.40%,19,5,5,8,9,22,0,17.9,2,20.00%,5,0,0,0,0,0,1,1,63.20%,1,2,2,0,0,0,0,0,-,0,0.00%,0.00%,HFX vs PAC,2020-08-15,7t269w4kohpnnx91dmg5bwis4,15380,3wyn5e0uz5jfilp065m3qynoq:2126221,HFX vs PAC (2020-08-15)
512,1,3wyn5e0uz5jfilp065m3qynoq,501450,58,25,Defensive Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,28,18,5,0.14,0,0,0,1,0,0,0,0,1,0,0,6,1,66.67%,0,0,39,3,1,3,1,7,100.00%,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,22,13,0,39.30%,82.10%,9,2,12,2,15,11,0,20.4,0,33.30%,3,0,26,0,1,0,0,0,54.50%,6,1,0,0.14,0,0.14,0,0,0.14,1,-,-,CAV vs HFX,2020-09-12,cap8cqg4fk34voy1o310hy39w,15381,3wyn5e0uz5jfilp065m3qynoq:2137185,CAV vs HFX (2020-09-12)
279,1,3wyn5e0uz5jfilp065m3qynoq,501450,90,25,Defensive Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,44,15,24,0,0,0,0,0,0,0,0,0,1,0,0,3,1,30.00%,0,0,55,7,0,1,0,3,25.00%,2,2,7,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,11,40,0,50.00%,88.60%,29,4,6,4,7,33,0,19.5,3,0.00%,1,0,0,0,0,0,0,0,81.80%,2,1,0,0,0,0,0,1,-,0,-,-,EDM vs HFX,2020-08-27,7u1iuq4d7judbzn8c1gawxp90,6925,3wyn5e0uz5jfilp065m3qynoq:2126249,EDM vs HFX (2020-08-27)
168,1,3wyn5e0uz5jfilp065m3qynoq,501450,80,25,Central Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,50,19,25,0.03,0,0,0,0,0,0,0,0,3,0,0,5,2,41.67%,0,0,63,7,0,3,0,3,75.00%,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,13,17,33,0,32.00%,88.00%,26,6,12,8,14,28,0,20,1,-,0,0,18,0,0,0,0,0,75.00%,2,1,0,0.03,0,0.03,0,0,0.03,1,-,-,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15377,3wyn5e0uz5jfilp065m3qynoq:2126238,HFX vs FOR (2020-08-20)
